id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	feedback_response	recalibration	blink	saccade
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	1	2.70896361099	0.516292211808	visual	left	left	tactice	NA	522.186762857	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	2	5.072265269	0.588050949512	tactile	left	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	3	2.11400316001	0.609965117659	tactile	left	left	visual	NA	642.863941001	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	4	3.194547081	1.42893185364	tactile	left	right	visual	NA	511.206118026	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	5	1.79488041801	1.27724667049	tactile	right	right	visual	NA	521.010296172	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	6	1.81758433199	1.21089389817	visual	right	right	tactice	NA	550.569293497	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	7	4.58728400301	0.854637141932	visual	left	right	visual	NA	412.986739728	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	8	2.208152854	0.678159719062	visual	right	right	visual	NA	657.932577597	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	9	2.58642116499	1.30116852171	visual	right	left	visual	NA	560.001363963	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	10	3.16230673299	0.821416341719	visual	left	right	visual	NA	492.236032951	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	11	2.99567125199	0.754441873954	visual	right	right	tactice	NA	479.259869695	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	12	2.168364196	0.87373486623	visual	right	right	visual	NA	590.33821644	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	13	2.591967824	1.13580360411	tactile	right	right	tactice	NA	519.402715567	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	14	2.29011909099	1.06504992618	tactile	left	left	tactice	NA	553.561880486	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	15	2.138625954	0.828794168347	tactile	left	right	tactice	NA	546.217080308	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	16	2.35936013199	1.06355726083	tactile	left	right	tactice	NA	383.408983835	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	17	2.05585814	0.59106852816	tactile	right	right	tactice	NA	540.395619508	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	18	2.30175561001	0.776763611967	tactile	left	left	tactice	NA	517.583762703	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	19	2.141540322	1.39392335546	tactile	right	left	visual	NA	438.124132212	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	20	2.24490146899	0.603748841713	tactile	right	right	tactice	NA	733.873792968	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	21	2.995131943	0.782480232463	visual	right	left	visual	NA	502.720906195	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	22	2.07134224199	1.21902242798	visual	right	left	tactice	NA	390.924723688	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	23	1.94248186999	0.512959667887	visual	left	right	tactice	NA	586.81323177	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	24	2.308351582	0.899024828356	tactile	right	right	tactice	NA	536.185325313	FALSE	FALSE	FALSE	TRUE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	25	3.539218869	1.06113406857	visual	right	left	tactice	NA	318.936157084	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	26	1.92822249999	1.12207872249	visual	left	left	tactice	NA	401.243981178	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	27	3.32834508299	0.933590387375	tactile	left	right	tactice	NA	404.364096292	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	28	1.888214327	0.997884041063	visual	left	left	tactice	NA	407.335808588	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	29	2.030525125	0.829049660456	visual	right	left	visual	NA	477.054782197	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	30	2.14671936599	0.904593773683	visual	left	right	tactice	NA	319.23770599	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	31	2.21537909101	1.09591299527	tactile	left	right	visual	NA	360.07041439	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	32	2.09799664	0.950781212292	tactile	right	left	visual	NA	352.688680374	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	33	2.720618584	1.03152381983	visual	left	left	tactice	NA	714.422703837	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	34	2.25759683199	1.07845157716	tactile	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	35	3.31327770901	1.06220325375	tactile	right	right	tactice	NA	524.257532918	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	36	1.82872788899	1.35938675588	tactile	left	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	37	3.228442294	1.09528120519	visual	right	right	visual	NA	559.315525461	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	38	1.96487123601	0.803303814764	visual	left	right	visual	NA	395.459133899	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	39	1.864168164	1.02636371113	tactile	right	left	tactice	NA	353.271148546	FALSE	FALSE	FALSE	TRUE
p02	2015	06	03	10	36	f	21	r	8.668944686	practice	40	1.928850595	1.15539592664	tactile	right	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	1	3.062827808	1.26499861657	tactile	right	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	2	1.494499917	1.15642080887	tactile	right	right	tactice	NA	478.951169804	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	3	1.95467877801	0.92649311741	visual	right	right	visual	NA	569.997318249	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	4	2.43694557101	0.778100915803	visual	right	left	visual	NA	502.596780847	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	5	2.31200286301	1.07658805425	tactile	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	6	2.043204203	0.947773115791	tactile	left	right	tactice	NA	340.540847857	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	7	1.963003147	1.37379553875	visual	right	left	visual	NA	421.514194924	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	8	2.29240574699	0.508507508721	tactile	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	9	2.087713199	1.08676694522	visual	right	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	10	1.689006972	1.49398658906	visual	right	right	visual	NA	648.9155616	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	11	2.49426253501	0.776038613819	visual	right	left	visual	NA	464.795462831	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	12	2.431275051	0.678072402426	tactile	right	left	tactice	NA	587.585516245	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	13	2.54057116601	1.26659216643	visual	right	right	tactice	NA	464.278588232	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	14	2.488416769	1.07594072369	tactile	left	right	tactice	NA	394.683945968	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	15	1.56576894001	1.07710794854	visual	right	right	visual	NA	597.644387119	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	16	2.24946126601	1.19940016034	tactile	right	left	visual	NA	370.376283317	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	17	1.818026721	0.852974693885	tactile	left	left	tactice	NA	445.978883785	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	18	2.094031503	0.781342207882	visual	right	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	19	1.668129635	1.02747353428	visual	left	left	visual	NA	510.784845392	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	20	3.730407386	1.0902796614	visual	left	left	tactice	NA	363.273060269	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	21	1.41337672299	0.812976839132	tactile	left	right	visual	NA	506.156028525	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	22	4.479726887	1.11578868041	visual	left	right	tactice	NA	416.152490245	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	23	1.39034699701	0.918750176182	visual	right	right	tactice	NA	451.77008248	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	24	1.85096083001	1.309843731	visual	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	25	2.42447726001	1.04502148519	tactile	left	left	tactice	NA	523.161043471	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	26	1.53175838701	1.24735984019	tactile	right	left	tactice	NA	417.211122476	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	27	1.823793797	0.775990380337	tactile	right	right	visual	NA	625.565212322	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	28	2.67127670199	0.952622972958	tactile	left	left	tactice	NA	517.301108717	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	29	1.90198208399	1.01171139432	visual	left	catch	visual	NA	NA	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	30	2.178016844	1.22399926368	tactile	right	left	tactice	NA	344.342009979	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	31	1.750327402	0.55968089742	tactile	left	left	tactice	NA	477.534544232	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	32	2.10191504601	0.978755124106	tactile	left	right	visual	NA	483.708254571	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	33	2.25682464	1.25774638024	visual	right	right	visual	NA	663.959222409	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	34	1.969277881	0.658452559855	visual	right	left	tactice	NA	375.944543805	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	35	1.816889176	1.23884007882	visual	left	left	tactice	NA	327.578750846	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	36	2.12274059601	1.01759115396	tactile	right	right	tactice	NA	477.914891715	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	37	2.24289364601	0.549063774485	tactile	right	right	tactice	NA	442.038864174	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	38	1.612848705	1.15111692417	visual	left	left	visual	NA	577.349695493	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	39	2.1017938	0.93956390166	visual	left	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	53.900487417	1	40	1.85961755	0.943477766958	tactile	right	right	visual	NA	506.95174771	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	41	4.346914416	1.09542202	visual	right	left	visual	NA	457.421535655	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	42	2.20209132999	1.08403215904	visual	left	left	tactice	NA	441.79276863	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	43	2.045494135	0.63889551085	tactile	right	left	visual	NA	446.13442781	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	44	2.20845962501	0.516825211041	visual	left	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	45	1.56073915299	0.70028583765	tactile	left	left	visual	NA	386.903462015	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	46	1.93108726099	0.969985266438	tactile	right	left	visual	NA	396.490653235	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	47	2.45843241799	0.557745905207	tactile	left	catch	tactice	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	48	1.57372428999	1.26761131441	visual	left	right	visual	NA	533.360887261	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	49	2.202730901	0.581706745416	visual	left	right	visual	NA	539.15895024	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	50	1.84303880901	1.35309180499	tactile	right	right	tactice	NA	476.859045666	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	51	2.15199335999	0.657417277697	tactile	left	left	visual	NA	567.058126966	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	52	1.95703493401	1.40833423762	tactile	right	left	tactice	NA	412.570373039	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	53	2.082703197	1.14479673122	visual	left	left	tactice	NA	495.456344433	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	54	1.42399295	0.739545403469	tactile	right	right	visual	NA	548.05463519	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	55	2.233322503	0.908347852782	visual	left	right	tactice	NA	321.855995891	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	56	1.82877451301	1.11069429526	visual	left	left	visual	NA	488.336006398	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	57	1.79951356401	1.43426402268	visual	right	right	tactice	NA	392.45840098	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	58	1.740466396	1.47894938339	tactile	left	right	tactice	NA	389.620770278	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	59	1.81726257999	0.602055837318	tactile	left	right	tactice	NA	448.304026359	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	60	3.288053792	0.625360077924	tactile	left	right	visual	NA	498.949674729	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	61	2.08286347799	0.775799054812	visual	left	left	visual	NA	420.469523859	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	62	1.547743709	0.858910817242	visual	left	left	tactice	NA	444.005680416	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	63	1.492470506	1.14962124104	tactile	left	right	tactice	NA	312.575015632	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	64	1.95853236099	0.595146539161	visual	left	right	visual	NA	408.925142518	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	65	2.01378225299	1.3355106683	visual	left	right	tactice	NA	309.072500357	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	66	1.800497269	0.973116087179	tactile	left	right	tactice	NA	326.207513484	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	67	1.974265463	0.604598807141	tactile	right	left	tactice	NA	457.504264516	FALSE	FALSE	FALSE	TRUE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	68	1.89700287399	0.564908031043	tactile	left	left	visual	NA	513.803463618	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	69	2.328023244	0.659580168731	tactile	right	right	tactice	NA	486.769079915	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	70	2.28471322299	1.29240852954	visual	right	left	visual	NA	407.972171117	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	71	1.65349885101	1.17267917908	visual	right	left	tactice	NA	314.484414586	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	72	2.031486771	1.0597968631	tactile	right	left	tactice	NA	439.955807567	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	73	1.898309136	1.14054295081	visual	right	left	tactice	NA	283.690264856	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	74	2.13791906701	1.15707883757	tactile	left	right	visual	NA	369.756468092	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	75	1.987462472	1.06684033892	visual	right	left	visual	NA	521.83080875	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	76	2.29317196801	0.705314702529	visual	right	right	tactice	NA	423.978645136	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	77	2.0465305	0.974054451498	visual	right	left	tactice	NA	381.020839181	FALSE	FALSE	TRUE	TRUE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	78	2.03669384601	0.712712870394	visual	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	79	1.82488863301	0.890633719286	tactile	left	right	visual	NA	325.759586369	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	33.480857892	1	80	4.64988198399	0.833035649638	tactile	left	left	tactice	NA	481.825425028	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	37.267789823	1	81	4.418644292	1.00961816565	visual	right	right	visual	NA	477.461329021	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	37.267789823	1	82	1.959070372	0.745494504862	tactile	left	right	tactice	NA	304.297278795	FALSE	FALSE	FALSE	FALSE
p02	2015	06	03	10	36	f	21	r	37.267789823	1	83	112.792111251	1.25304386456	visual	right	left	tactice	NA	830.54755909	FALSE	FALSE	FALSE	FALSE
