id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	1	8.71278979903	1.1574989428	visual	right	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	2	1.57911305205	0.799237567941	visual	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	3	134.456574709	1.44213846493	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	4	2.24978592503	1.09235037319	visual	left	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	5	1.274373425	0.592615357191	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	6	7.70384910196	0.657246706405	tactile	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	7	3.85253105598	1.40457561064	tactile	right	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	8	2.00145421998	1.21475987191	tactile	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	9	2.048655989	0.731634457641	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	10	1.93662573502	0.911054587129	visual	right	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	11	3.30290524301	0.921557099193	visual	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	12	4.54744979698	1.09196309185	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	13	1.53244732198	0.79540042882	tactile	left	left	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	14	33.100628415	1.22107506995	visual	right	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	15	1.695536424	1.30088718189	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	16	0.763257717015	1.11486317186	tactile	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	17	29.01696476	1.15798232884	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	18	2.25181497401	1.42287546995	tactile	right	left	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	19	2.39339674299	1.04395545695	tactile	right	right	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	20	2.84356126102	1.17736472449	visual	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	21	4.03883108502	0.702669714721	visual	right	right	tactile	NA	680.565985967	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	22	1.209027189	0.594842597051	tactile	right	right	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	23	1.846914138	1.0413946557	tactile	right	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	24	0.69675072399	0.73535470427	tactile	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	25	1.32901302201	1.31487330006	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	26	2.31441208499	0.718116551567	tactile	left	right	tactile	NA	677.121202054	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	27	5.40673547203	1.06229694624	visual	left	left	tactile	NA	681.982142443	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
