id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade	trigger_shown
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	1	6.23115720198	0.665163158707	visual	left	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	2	3.21565763903	0.503548244475	tactile	left	left	tactile	NA	460.248809133	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	3	2.72512934904	1.17733734452	tactile	right	right	tactile	NA	478.16552018	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	4	1.62709137099	0.647821477518	tactile	right	left	tactile	NA	422.790382116	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	5	0.824945166009	1.28074621189	tactile	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	6	3.35172756203	1.27313405376	tactile	right	left	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	7	0.419860284019	1.18645573768	visual	left	left	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	8	194.931546546	1.18413483454	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	9	1.87638375303	0.756921088714	tactile	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p05	2015	07	04	14	34	m	33	r	11.4870424379	practice	10	9.63731259195	0.618164340564	visual	left	left	tactile	NA	719.538880105	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
